"site","lat","long","dates"
10441,51.5027,-3.1209,1
10443,53.5177,-3.0633,4
10460,53.5482,-3.1062,4
10466,54.8556,-2.1043,2
10484,51.504,-0.1054,1
10517,51.5038,-0.0982,1
10518,51.504,-0.0981,1
10527,55.6036,-2.0881,1
10533,55.5902,-2.0642,2
10552,51.5378,-2.9127,6
10567,51.5007,-0.0784,3
10577,52.7852,-8.3657,11
10638,52.7459,-7.6898,1
10666,52.0837,-3.7688,2
10671,53.092,-3.7933,1
10673,51.5032,0.0268,7
10702,53.2792,-4.6169,13
10722,53.3284,-3.8649,1
10753,55.431,-1.9922,5
10754,51.8266,-3.8513,1
10772,51.4873,-0.1244,3
10773,51.8723,-5.2177,9
10780,53.15,-7.9833,1
10795,51.9667,-9.9,1
10827,53.15,-6.2833,1
10831,52.0417,-9.4828,6
10840,50.2882,-3.6557,2
10849,51.5128,-2.6851,2
10867,52.6864,-0.3741,6
10891,53.2306,-0.4194,8
10904,53.3298,-3.8334,2
10946,53.2854,-4.5787,5
10951,51.4992,-0.1247,1
10952,53.0833,-4.0618,6
10956,51.5004,-0.13,1
10964,53.2555,-3.9247,2
11006,52.5158,-3.4427,5
11008,54.9777,-3.2946,2
11009,54.7655,-2.0208,1
11051,51.5169,-2.6716,2
11070,53.9613,-1.0742,20
11076,54.2668,-3.399,1
11100,56.0334,-7.3314,1
11123,52.2488,-0.7176,17
11124,51.0813,-3.8736,1
11223,54.4347,-1.123,2
11224,54.3767,-2.1401,1
11238,54.3896,-1.939,1
11341,54.3144,-3.415,2
11350,52.2092,-0.8711,2
11373,52.0949,-0.7533,6
11374,52.2553,-9.6027,19
11377,51.5787,-2.8529,1
11378,51.575,-2.8672,2
11393,53.8983,-1.1028,1
11396,52.2576,-9.7012,4
11397,54.2004,-1.5691,3
11398,54.2783,-3.3885,1
11400,51.5169,-2.6716,2
11401,51.7063,-5.1868,4
11402,53.8439,-1.8267,3
11403,51.4506,-0.3866,2
11405,52.965,-3.8805,7
11408,51.8189,-3.8585,2
11409,56.9885,-7.4166,1
11411,51.625,-0.0468,1
11412,54.2861,-6.0904,2
11413,52.6801,-0.3332,1
11414,52.1249,-0.5123,107
11417,55.6139,-2.0968,1
11418,51.6593,-4.1478,3
11431,50.712,-1.4717,32
11436,57.8094,-8.575,10
11442,51.1394,-3.8328,6
11443,52.3586,-3.7504,3
11446,51.4999,-0.0777,1
11447,51.5001,-0.0789,2
11449,51.8331,-2.1103,18
11456,53.0667,-0.8667,5
11478,51.2493,-2.7737,1
11480,51.2855,-2.9779,1
11481,51.1121,-3.6631,3
11483,54.9643,-1.9828,14
11502,51.4813,-0.1862,1
11506,52.7788,-0.1735,2
11560,53.1247,-0.1543,1
11565,53.1247,-0.1543,2
11567,52.4063,-1.5188,2
11599,52.5665,-0.6497,8
11603,50.824,-0.58,4
11624,53.0109,-4.2835,4
11631,52.5198,-3.4067,1
11634,52.5262,-3.3936,1
11640,51.4427,-2.7568,2
11652,51.5192,0.0582,50
11664,51.5325,0.091,20
11665,51.5141,0.0187,7
11681,51.5499,-0.0392,3
11686,51.5175,-0.1457,1
11687,51.4777,-3.5796,5
11689,53.3372,-3.8555,1
11694,53.7826,-0.2593,4
11695,52.2172,-2.2178,3
11696,53.2421,-0.4965,1
11701,51.5014,-0.091,2
11702,53.1828,0.3329,2
11706,51.3906,-1.1815,1
11707,51.4989,-0.081,2
11711,51.0565,-2.9431,1
11731,52.6192,-3.7703,4
11732,52.5756,-3.9132,2
11734,54.9945,-7.32,4
11735,53.2279,-0.5486,5
11736,53.2642,-4.4769,10
11737,53.2769,-4.5179,5
11738,53.3004,-4.6248,16
11739,51.5142,0.0255,1
11740,50.8125,-0.5784,1
11741,51.5203,0.1769,6
11751,53.6193,-0.6409,3
11752,52.3601,-3.749,1
11758,53.0026,-0.394,1
11760,53.0026,-0.394,1
11764,53.2291,-0.5536,6
11785,54.2505,-8.5845,1
11786,54.2371,-8.6187,1
11791,54.1494,-7.1804,2
11792,51.511,-3.098,6
11799,51.9966,-2.7493,3
11802,53.1144,-0.7741,1
11811,51.8019,-4.3075,1
11819,51.8017,-4.3219,1
11820,53.7071,-6.2937,8
11823,52.7338,-8.8884,5
11827,52.7166,-8.8559,6
11833,53.6477,-6.2984,1
11836,50.9199,0.9653,6
11839,52.1854,-8.9294,1
11843,51.8745,-8.592,1
11850,53.1576,-0.2546,1
11853,53.7719,-0.4409,1
11855,54.2543,-8.5959,4
11856,51.7825,-3.2815,4
11857,52.015,-4.8431,3
11858,53.8069,-0.428,1
11862,54.8863,-3.0226,2
11863,51.7799,-2.9929,1
11864,53.2499,-4.2962,4
11868,52.6707,-3.115,3
11869,50.6795,-1.9931,10
11870,51.514,-0.1,4
11872,51.94,-7.883,1
11884,51.94,-7.883,2
11889,51.8979,-8.4711,1
11908,52.9547,-6.4125,9
11915,51.5002,-0.0218,1
11917,54.3243,-3.071,1
11924,52.5908,-0.4842,4
11925,54.3684,-1.6206,29
11926,54.2883,-1.5937,4
11927,52.2821,-9.7222,2
11928,52.846,-3.3764,1
11933,52.5273,-3.6893,1
